time,station,Net irr demand incl fld appl and norm dist eff (Mcm),Net irr demand incl fld appl and norm dist eff (m3/s),Net irr demand incl fld appl and norm dist eff (l/s/ha),Net irr demand incl fld appl and norm dist eff (mm/day),Gross irr demand incl sw conv eff (Mcm),Gross irr demand incl sw conv eff (m3/s),Gross irr demand incl sw conv eff (l/s/ha),Gross irr demand incl sw conv eff (mm/day),Dependable river flow (Mcm),Dependable river flow (m3/s),Dependable river flow (l/s/ha),Dependable river flow (mm/day),Shortage (Mcm),Shortage (m3/s),Shortage (l/s/ha),Shortage (mm/day),Dependable rainfall (mm/day),Reference evapotranspiration (mm/day),Area: Bean_FBEAN1 (ha),Area: LongBerseem_LBSEEM1 (ha),Area: ShortBerseem_SBSEMW1 (ha),Area: Cotton_SDELS1 (ha),Area: SummerMaize_MAIZES1 (ha),Area: Orchard_CITRUS1 (ha),Area: LongRice_PADDY1 (ha),Area: SumerSorghum_SORGMS1 (ha),Area: SugarBeet_SBEET1 (ha),Area: SugarCane_SCANE1 (ha),Area: SumerVegtabl_VEGETS1 (ha),Area: Wheat_WHEAT1 (ha),Area: WintrVegtabl_VEGETW1 (ha),Area: NiliVegetabl_VEGETN1 (ha),Area: NiliMaize_MAIZEN1 (ha),Area: Barley_BARLEY1 (ha),Area: NiliTomato_TMATON1 (ha),Area: NiliPotato_PTATON1 (ha),Area: NiliSorghum_SORGMN1 (ha),Area: SummerTomato_TMATOS1 (ha),Area: SummerPotato_PTATOS1 (ha),Area: SummerOnion_ONIONS1 (ha),Area: WinterTomato_TMATOW1 (ha),Area: WinterOnion_ONIONW1 (ha),Area: OtherLegume_OLGUME1 (ha),Area: Flax_FLAX1 (ha),Area: Soybean_SBEAN1 (ha),Area: Lentil_LENTIL1 (ha),Area: Sesame_SESAME1 (ha),Area: Peanut_GNUT1 (ha),Area: WinterPotato_PTATOW1 (ha),Area: Sprinkler (ha), Area: Surface (ha),Area: ShortRice_PADDY2 (ha), Area: Fallow (ha)
1950-01-01,Blk_Air_2,29.103277,33.68435,0.50819945,4.390843,29.103277,33.68435,0.50819945,4.390843,0.0,0.0,0.0,0.0,29.103277,33.68435,0.50819945,4.390843,0.0,2.07,1642.4678,6591.202,1898.437,0.0,0.0,23712.682,0.0,0.0,4230.5986,7.1102495,0.0,17064.602,5901.508,369.73297,0.0,383.95355,118.50417,56.882,0.0,0.0,0.0,0.0,1478.9319,981.2146,0.0,14.2205,0.0,0.0,0.0,0.0,2581.0208,0.0,0.0,0.0,4069.4375
1950-01-01,Blk_Air_62,5.548422,6.4217844,0.34404024,2.9725075,5.548422,6.4217844,0.34404024,2.9725075,0.0,0.0,0.0,0.0,5.548422,6.4217844,0.34404024,2.9725075,0.0,2.13,61.371197,2585.2617,168.77081,0.0,0.0,1354.0018,0.0,0.0,2027.1675,1390.441,0.0,9098.281,341.37732,0.0,0.0,40.27485,0.0,0.0,0.0,0.0,0.0,0.0,383.56995,182.19574,0.0,0.0,0.0,0.0,0.0,0.0,1089.3387,0.0,0.0,0.0,456.44922
1950-01-01,Blk_Air_77,13.073173,15.130986,0.47128862,4.0719333,13.073173,15.130986,0.47128862,4.0719333,0.0,0.0,0.0,0.0,13.073173,15.130986,0.47128862,4.0719333,0.0,2.13,199.3917,4449.584,892.0155,0.0,0.0,8832.702,0.0,0.0,920.00037,234.37271,0.0,6474.983,4383.119,1112.396,0.0,248.36511,173.73898,101.44489,0.0,0.0,0.0,0.0,1210.3425,913.00415,0.0,0.0,0.0,0.0,0.0,0.0,2431.1797,0.0,0.0,0.0,2404.3594
1950-01-01,Blk_Air_53,47.431446,54.897507,0.50104445,4.329024,47.431446,54.897507,0.50104445,4.329024,0.0,0.0,0.0,0.0,47.431446,54.897507,0.50104445,4.329024,0.0,2.07,2827.9421,10419.97,3050.892,0.0,0.0,38065.742,0.0,0.0,7146.128,0.0,0.0,29182.957,9856.728,551.5074,0.0,727.5204,187.7472,117.34201,0.0,0.0,0.0,0.0,2475.916,1548.9146,0.0,23.468395,0.0,0.0,0.0,0.0,4588.0723,0.0,0.0,0.0,6571.1406
1950-01-01,Blk_Air_1,16.250484,18.808432,0.51051927,4.4108863,16.250484,18.808432,0.51051927,4.4108863,0.0,0.0,0.0,0.0,16.250484,18.808432,0.51051927,4.4108863,0.0,2.07,937.7616,3525.509,1068.3359,0.0,0.0,13334.416,0.0,0.0,2433.432,0.0,0.0,9484.449,3240.619,174.0992,0.0,213.6672,64.62774,27.697601,0.0,0.0,0.0,0.0,823.0144,546.0384,0.0,7.9135995,0.0,0.0,0.0,0.0,1380.9233,0.0,0.0,0.0,2305.4922
1950-01-01,Blk_Air_47,49.680447,57.50052,0.49691883,4.293379,49.680447,57.50052,0.49691883,4.293379,0.0,0.0,0.0,0.0,49.680447,57.50052,0.49691883,4.293379,0.0,2.07,597.08,14353.805,1540.4666,0.0,0.0,38619.137,0.0,0.0,8299.412,11.941601,0.0,38165.35,6926.1284,59.708,0.0,549.3136,0.0,0.0,0.0,0.0,0.0,0.0,3248.1152,2376.3784,0.0,23.883202,0.0,0.0,0.0,0.0,1456.8752,0.0,0.0,0.0,3188.4062
1950-01-01,Blk_Air_43,14.469902,16.747572,0.67956287,5.8714232,14.469902,16.747572,0.67956287,5.8714232,0.0,0.0,0.0,0.0,14.469902,16.747572,0.67956287,5.8714232,0.0,2.07,43.5523,1549.9497,309.98993,0.0,0.0,15145.952,0.0,0.0,865.92224,0.0,0.0,2984.613,2126.377,0.0,0.0,87.1046,0.0,0.0,0.0,0.0,0.0,0.0,1029.8838,38.4285,0.0,0.0,0.0,0.0,0.0,0.0,566.17993,0.0,0.0,0.0,871.0469
1950-01-01,Blk_Air_45,12.906554,14.938143,0.6981837,6.032307,12.906554,14.938143,0.6981837,6.032307,0.0,0.0,0.0,0.0,12.906554,14.938143,0.6981837,6.032307,0.0,2.07,200.22733,1337.7823,165.0225,0.0,0.0,13743.074,0.0,0.0,459.8627,0.0,0.0,2737.173,1505.0051,15.4021,0.0,158.4216,1.4668667,0.0,0.0,0.0,0.0,0.0,732.69995,96.8132,0.0,0.0,0.0,0.0,0.0,0.0,299.24078,0.0,0.0,0.0,550.8086
1950-01-01,Blk_Air_NewDevelopment_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-01-01,Blk_Air_42,19.24389,22.273022,0.6924499,5.982767,19.24389,22.273022,0.6924499,5.982767,0.0,0.0,0.0,0.0,19.24389,22.273022,0.6924499,5.982767,0.0,2.07,225.692,2014.6333,295.391,0.0,0.0,20385.297,0.0,0.0,826.43097,0.0,0.0,4049.1802,2419.5508,16.595001,0.0,199.14001,1.1063333,0.0,0.0,0.0,0.0,0.0,1178.2451,116.16501,0.0,0.0,0.0,0.0,0.0,0.0,537.678,0.0,0.0,0.0,924.8965
1950-01-01,Blk_Air_44,7.081061,8.195672,0.66902125,5.780343,7.081061,8.195672,0.66902125,5.780343,0.0,0.0,0.0,0.0,7.081061,8.195672,0.66902125,5.780343,0.0,2.07,21.630802,799.0673,150.14317,0.0,0.0,7354.4717,0.0,0.0,571.3075,0.0,0.0,1523.0629,1033.1887,0.0,0.0,53.440796,0.0,0.0,0.0,0.0,0.0,0.0,500.05322,19.086002,0.0,0.0,0.0,0.0,0.0,0.0,274.83844,0.0,0.0,0.0,423.70996
1950-01-01,Blk_Air_46,27.618227,31.965542,0.4096812,3.5396457,27.618227,31.965542,0.4096812,3.5396457,0.0,0.0,0.0,0.0,27.618227,31.965542,0.4096812,3.5396457,0.0,2.07,587.94385,11353.113,115.9326,0.0,0.0,15783.395,0.0,0.0,7842.013,0.0,0.0,33868.883,3610.4727,49.685406,0.0,472.0113,0.0,0.0,0.0,0.0,0.0,0.0,2045.3823,1647.899,0.0,33.123596,0.0,8.280899,0.0,0.0,645.9102,0.0,0.0,0.0,4744.953
1950-01-01,Blk_Air_38,7.7736797,8.9973135,0.45989764,3.9735157,7.7736797,8.9973135,0.45989764,3.9735157,0.0,0.0,0.0,0.0,7.7736797,8.9973135,0.45989764,3.9735157,0.0,2.07,8.089201,3593.6272,1868.6052,0.0,0.0,5075.973,0.0,0.0,52.5798,12.1338005,0.0,6321.7104,1458.0782,22.2453,0.0,0.0,1.3482001,0.0,0.0,0.0,0.0,0.0,24.267603,1518.7473,0.0,0.0,0.0,0.0,0.0,0.0,230.54219,0.0,0.0,0.0,35.052734
1950-01-01,Blk_Air_16,14.859229,17.198183,0.3951859,3.4144058,14.859229,17.198183,0.3951859,3.4144058,0.0,0.0,0.0,0.0,14.859229,17.198183,0.3951859,3.4144058,0.0,2.07,273.15192,7124.338,1065.7402,0.0,0.0,7621.386,0.0,0.0,3573.364,8.955799,0.0,19035.555,2153.87,35.823196,0.0,205.9834,1.4926332,0.0,0.0,0.0,0.0,0.0,792.5883,1634.4336,0.0,13.433701,0.0,4.4778996,0.0,0.0,331.36462,0.0,0.0,0.0,903.04297
